artificial-intelligence;application anomalies detection;AI Anomaly Detector
artificial-intelligence;bots creation and connection;Azure AI Bot Services
artificial-intelligence;search and retrieval;Azure AI Search
artificial-intelligence;Design AI with Apache Spark™-based analytics;Azure Databricks
artificial-intelligence;An enterprise-grade service for the end-to-end machine learning lifecycle;Azure Machine Learning
artificial-intelligence;Cloud platform to host and share curated open datasets to accelerate development of machine learning models;Azure Open Datasets
artificial-intelligence;Add cognitive capabilities to apps with APIs and AI services;Azure Cognitive Services
artificial-intelligence;An AI service for quickly building video analytics solutions;Azure Video Analyzer PREVIEW
artificial-intelligence;Distill actionable information from images;computer Vision
artificial-intelligence;Automated image, text, and video moderation;Content Moderator
artificial-intelligence;Easily customize your own state-of-the-art computer vision models for your unique use case;Custom Vision
artificial-intelligence;Rich pre-configured environment for AI development;Data Science Virtual Machines
artificial-intelligence;Detect, identify, analyze, organize, and tag faces in photos;Face API
artificial-intelligence;The AI-powered document extraction service that understands your forms;Azure Form Recognizer
artificial-intelligence;Empower users of all ages and abilities to read and comprehend text;Azure Immersive Reader
artificial-intelligence;Build for mixed reality using AI sensors;Kinect DK
artificial-intelligence;Teach your apps to understand commands from your users;Language Understanding (LUIS)
artificial-intelligence;Power genome sequencing & research insights;Microsoft Genomics
artificial-intelligence;Deliver personalized, relevant experiences for each of your users;Personalizer
artificial-intelligence;Create intelligent industrial control systems using simulations;Project Bonsai PREVIEW
artificial-intelligence;Distill information into conversational, easy-to-navigate answers;QnA Maker
artificial-intelligence;A Speech service feature that verifies and identifies speakers;Speaker recognition
artificial-intelligence;A Speech service feature that accurately converts spoken audio to text;Speech to text
artificial-intelligence;Easily integrate real-time speech translation to your app;Speech translation
artificial-intelligence;Add natural language capabilities with a single API call;Cognitive Service for Language
artificial-intelligence;A Speech service feature that converts text to lifelike speech;Text to speech
artificial-intelligence;Easily conduct machine translation with a simple REST API call;Translator
artificial-intelligence;An AI service that monitors metrics and diagnoses issues;Azure Metrics Advisor
artificial-intelligence;A managed service purpose-built for development of virtual healthcare assistants;Health Bot
artificial-intelligence;Accelerate edge intelligence from silicon to service;Azure Percept PREVIEW
artificial-intelligence;Specialized services that enable organizations to accelerate time to value in applying AI to solve common scenarios;Azure Applied AI Services
artificial-intelligence;Apply advanced language models to a variety of use cases;Azure OpenAI Service PREVIEW
analytics;Enterprise-grade analytics engine as a service;Azure Analysis Services
analytics;Fast and highly scalable data exploration service;Azure Data Explorer
analytics;Hybrid data integration at enterprise scale, made easy;Azure Data Factory
analytics;Scalable, secure data lake for high-performance analytics;Azure Data Lake Storage
analytics;Hyperscale repository for big data analytics workloads;Azure Data Lake Storage Gen1
analytics;A simple and safe service for sharing big data with external organizations;Azure Data Share
analytics;Design AI with Apache Spark™-based analytics;Azure Databricks
analytics;Real-time analytics on fast-moving streaming data;Azure Stream Analytics
analytics;Limitless analytics with unmatched time to insight;Azure Synapse Analytics
analytics;Get more value from your enterprise data assets;Data Catalog
analytics;Distributed analytics service that makes big data easy;Data Lake Analytics
analytics;Receive telemetry from millions of devices;Event Hubs
analytics;Provision cloud Hadoop, Spark, R Server, HBase, and Storm clusters;HDInsight
analytics;White label Power BI to quickly and easily provide exceptional customer facing dashboards and analytics in your own applications;Power BI Embedded
analytics;Predictive analytics, machine learning, and statistical modeling for big data;R Server for HDInsight
analytics;A unified data governance solution that maximizes the business value of your data;Azure Purview
analytics;A secure, high-throughput connector designed to copy select Microsoft 365 productivity datasets into your Azure tenant;Microsoft Graph Data Connect PREVIEW
analytics;Improve application resilience by introducing faults and simulating outages;Azure Chaos Studio PREVIEW
compute;Quickly create powerful cloud apps for web and mobile;App Service
compute;Create, manage, operate, and optimize HPC and big compute clusters of any scale;Azure CycleCloud
compute;Accelerate your development lifecycle by building your quantum solution once and running it on multiple systems with little to no change;Azure Quantum PREVIEW
compute;Provision unused compute capacity at deep discounts to run interruptible workloads;Azure Spot Virtual Machines
compute;Build and deploy Spring Boot apps with a fully managed service from Microsoft and VMware;Azure Spring Cloud
compute;Run your VMware workloads natively on Azure;Azure VMware Solution
compute;Cloud-scale job scheduling and compute management;Batch
compute;Create highly-available, infinitely-scalable cloud applications and APIs;Cloud Services
compute;Provision virtual machines for Ubuntu, Red Hat, and more;Linux Virtual Machines
compute;Migrate SQL Server workloads to the cloud at lower total cost of ownership (TCO);SQL Server on Azure Virtual Machines
compute;Streamlined full-stack development from source code to global high availability;Static Web Apps
compute;Manage and scale up to thousands of Linux and Windows VMs;Virtual Machine Scale Sets
compute;Provision Windows and Linux VMs in seconds;Virtual Machines
compute;Enable a secure, remote desktop experience from anywhere;Azure Virtual Desktop
compute;A dedicated physical server to host your Azure VMs for Windows and Linux;Azure Dedicated Host
compute;Simplify your image building process with easy to use tool;Azure VM Image Builder
compute;Deploy and scale containers on managed Kubernetes;Azure Kubernetes Service (AKS)
compute;Execute event-driven serverless code with an end-to-end development experience;Azure Functions
compute;Launch containers with hypervisor isolation;Azure Container Instances
compute;Deploy and operate always-on, scalable, distributed apps;Azure Service Fabric
containers;Fast, scalable parameter storage for app configuration;App Configuration
containers;Deploy and scale containers on managed Kubernetes;Azure Kubernetes Service (AKS)
containers;Deploy and scale containers on managed Red Hat OpenShift;Azure Red Hat OpenShift
containers;Build and deploy modern apps and microservices using serverless containers;Azure Container Apps PREVIEW
containers;Execute event-driven serverless code with an end-to-end development experience;Azure Functions
containers;Run containerized web apps on Windows and Linux;Web App for containers
containers;Launch containers with hypervisor isolation;Azure Container Instances
containers;Deploy and operate always-on, scalable, distributed apps;Azure Service Fabric
containers;Build, store, secure, and replicate container images and artifacts;Azure Container Registry
database;Accelerate apps with high-throughput, low-latency data caching;Azure Cache for Redis
database;Build or modernize scalable, high-performance apps;Azure Cosmos DB
database;Hybrid data integration at enterprise scale, made easy;Azure Data Factory
database;Deploy applications to the cloud with enterprise-ready, fully managed community MariaDB;Azure Database for MariaDB
database;Fully managed, scalable MySQL Database;Azure Database for MySQL
database;Fully managed, intelligent, and scalable PostgreSQL;Azure Database for PostgreSQL
database;Simplify on-premises database migration to the cloud;Azure Database Migration Service
database;Modern SQL family for migration and app modernization;Azure SQL
database;Managed, intelligent SQL in the cloud;Azure SQL Database
database;Consume Services privately on Azure Platform;Azure SQL Edge
database;Managed, always up-to-date SQL instance in the cloud;Azure SQL Managed Instance
database;Migrate SQL Server workloads to the cloud at lower total cost of ownership (TCO);SQL Server on Azure Virtual Machines
database;NoSQL key-value store using semi-structured datasets;Table Storage
database;Modernize Cassandra data clusters with a managed instance in the cloud;Azure Managed Instance for Apache Cassandra
database;Tamperproof, unstructured data store hosted in trusted execution environments (TEEs) and backed by cryptographically verifiable evidence;Azure confidential ledger PREVIEW
developer-tools;Fast, scalable parameter storage for app configuration;App Configuration
developer-tools;Services for teams to share code, track work, and ship software;Azure DevOps
developer-tools;Quickly create environments using reusable templates and artifacts;Azure DevTest Labs
developer-tools;Set up labs for classrooms, trials, development and testing, and other scenarios;Azure Lab Services
developer-tools;Continuously build, test, and deploy to any platform and cloud;Azure Pipelines
developer-tools;Get the SDKs and command-line tools you need;SDKs
developer-tools;Powerful and flexible environment to develop apps in the cloud;Visual Studio
developer-tools;A powerful, lightweight code editor for cloud development;Visual Studio Code
developer-tools;Optimize app performance with high-scale load testing;Azure Load Testing PREVIEW
devops;Create, host, and share packages with your team;Azure Artifacts
devops;Plan, track, and discuss work across your teams;Azure Boards
devops;Services for teams to share code, track work, and ship software;Azure DevOps
devops;Quickly create environments using reusable templates and artifacts;Azure DevTest Labs
devops;Full observability into your applications, infrastructure, and network;Azure Monitor
devops;Continuously build, test, and deploy to any platform and cloud;Azure Pipelines
devops;Get unlimited, cloud-hosted private Git repos for your project;Azure Repos
devops;Test and ship confidently with an exploratory test toolkit;Azure Test Plans
devops;Use your favorite DevOps tools with Azure;DevOps tool integrations
devops;Optimize app performance with high-scale load testing;Azure Load Testing PREVIEW
hybrid-multicloud;Synchronize on-premises directories and enable single sign-on;Azure Active Directory (Azure AD)
