category;domain;description;provider;product
migration-and-modernization;null;collects usage, behavior, and configuration data;aws;AWS Application Discovery Service
migration-and-modernization;null;secure file transfer;aws;AWS Transfer Family
migration-and-modernization;null;data synchronization;aws;AWS DataSync
migration-and-modernization;null;migration and modernization;aws;AWS Migration Hub
migration-and-modernization;null;migration and modernization;aws;AWS Application Migration Service
migration-and-modernization;null;migration and modernization;aws;AWS Migration Evaluator
migration-and-modernization;null;migration and modernization;aws;AWS Mainframe Modernization
migration-and-modernization;null;Simplify on-premises database migration to the cloud;azure;Azure Database Migration Service
migration-and-modernization;null;Discover, assess, right-size, and migrate your on-premises virtual machines (VMs) to Azure;azure;Azure Migrate
migration-and-modernization;null;Keep your business running with built-in disaster recovery service;azure;Azure Site Recovery
migration-and-modernization;null;Manage your cloud spending with confidence;azure;Azure Cost Management and Billing
migration-and-modernization;null;Appliances and solutions for data transfer to Azure and edge compute;azure;Data Box
media-services;null;video transcoder;aws;Amazon Elastic Transcoder
media-services;null;video transcoder;aws;AWS Elemental Video Convert
media-services;null;video transcoder;aws;AWS Elemental MediaConvert
media-services;null;video transport;aws;AWS Elemental MediaConnect
media-services;null;broadcast live video processing;aws;AWS Elemental MediaLive
media-services;null;broadcast live video processing;aws;AWS Elemental Conductor
media-services;null;broadcast live video processing;aws;AWS Elemental Delta
media-services;null;broadcast live video processing;aws;AWS Elemental Live
media-services;null;broadcast live video processing;aws;AWS Elemental Server
media-services;null;package, distribute video;aws;AWS Elemental MediaPackage
media-services;null;video storage;aws;AWS Elemental MediaStore
media-services;null;video ad insertion;aws;AWS Elemental MediaTailor
media-services;null;video processing and delivery;aws;AWS Elemental Appliances & Software
media-services;null;video live streaming low latency;aws;AWS Interactive Video service
media-services;null;video source connection;aws;AWS Elemental Link
media-services;null;process and render particles;aws;AWS Thinkbox Krakatoa
media-services;null;process and render particles;aws;AWS Thinkbox Frost
media-services;null;compute management software for render farms;aws;AWS Thinkbox Deadline
media-services;null;compute management software for render farms;aws;AWS Deadline Cloud
media-services;null;compressed animated geometry files;aws;AWS Thinkbox XMesh
media-services;null;particle simulator;aws;AWS Thinkbox Stoke
media-services;null;A single player for all your playback needs;azure;Azure Media Player
media-services;null;Fast, reliable content delivery network with global reach;azure;Content Delivery Network
